Filesystem	Size	Used
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/aandreeva/76f19bdf-62b6-462e-bddc-947569993f9e	239G	26G
tmpfs	76G	0
/dev/loop12	64M	64M
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/mbaikalov/0f7a8192-215d-4128-9b46-9a112b0f747d	239G	78G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/mustiuzhanina/4e0d40d5-9800-41fc-b3b2-773145b6a299	932G	767G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/misxmyrzina/86bacc5c-b111-4e26-b4ec-367cf86cbbd8	239G	171G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/vkriukova/dc7c0cea-421e-4e31-b54e-c5c90ad8218e	466G	397G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/kklimov/1d52e070-2d8a-43d4-97b0-99c9df0cb27b	239G	184G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/igabdrakhmanova/2ad4ac77-1884-439a-a4af-a55732b09482	239G	89G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/nmushenkova/3be4fe65-a3db-4b38-a42a-ddde1e3d3e79	239G	1.9G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/admitriev/6dd0ba9a-9904-4f83-98f8-927a1d68e5d3	239G	174G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/amazalov/740b6ab1-b780-42ab-adf4-b080513167fb	239G	190G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/abydanov/0324ef2e-da78-4272-9a8f-f7b6c1631027	570G	543G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/agoltseva/861e81ff-b185-4849-9fc1-342ca2bf1a86	239G	8.5G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/aamelina/30b497fb-a6c8-458e-a309-ef4a959254a1	239G	212M
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/afoliforova/8f7d4c90-6bae-4b67-a682-59d61b06d861	239G	64G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/amorozov/2761c21b-db6a-491c-9808-59d67cede866	239G	71G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/akomolov/9a409529-1459-487d-9647-e93227841f93	239G	33G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/akuchevskaya/4eef6ea8-54a5-4f49-98fc-e57857e55910	239G	175G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/aigolinskaya/98aed089-cc75-40d5-90f3-e7e64f2d5d4f	239G	40G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/adzhioeva/a7395096-00bc-4341-aeca-5373ef7838bd	239G	189G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/amaiorova/25db192b-e740-42a1-b1d4-7e8847a7e1e3	239G	1.1G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/akashtanova/1a73ddd6-81b8-49a3-bc84-5074c10e7a96	932G	928G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/abasova/342058c0-581f-4069-afec-1941e99589fc	425G	287G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/alevichek/f08a89cf-bc8c-41cc-8dd9-de7733508414	239G	896M
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/apopova/995bcf9a-9107-402f-b799-a5c7f063d715	239G	12G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/abushueva/a7fc9be4-460c-4d4f-a4ad-fdfb91dd305f	239G	80G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/anpavlova/44655534-df18-4f8b-a1e2-fba29350026c	267G	246G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/akabalina/3473ce68-f43b-47a5-bb8e-c1308f4f827a	239G	208G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/ashabalkina/d0a29210-e1b3-4391-af25-5af50034ee7d	239G	204G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/asamitova/2c928a1c-815d-4025-87a6-a7e819df29eb	239G	4.7G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/aprokofeva/4f4a4834-b8d2-4891-91e1-cf36b03f4cab	239G	135G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/dbadalian/a433c86f-a2d7-4eec-ba55-19b1b38c41c0	239G	2.2G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/bbaizhanov/5bc7e5ef-9303-43cf-aac6-5b8725f06cbb	239G	70G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/dbralieva/a8553576-0a88-4972-a94c-8ede040b0b28	239G	182G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/dkhardikova/327533c8-5e7e-45ba-a3be-dcc967c5b431	239G	181G
